,,,,,,,1,5
,Helonite Amulets,,,,,,1,5
,,,,,,,,
Common,Okleo's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Okleo's effigy. It has been placed under the pillow of a patient who came in to the doctors with a deadly illness and came out cured without the use of any magic.,,,,,,,
,"Whenever you make a roll and end up exactly 3 under the average result of the dice, add 6 to the result.",,,,,,,
,,,,,,,,
Common,Aka's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Aka's effigy. It has been placed inside the empty notebook of a researcher until they made a groundbreaking discovery.,,,,,,,
,"Divide the time needed to learn skills, masteries and spells by 2.",,,,,,,
,,,,,,,,
Common,Nuaun's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Nuaun's effigy. It was the only amulet carried by a hunter when they took down a Fae-Touched beast.,,,,,,,
,You become significantly more likely to have children if you have a female reproductive system and you can't have them if you have a male reproductive system.,,,,,,,
,,,,,,,,
Common,Suere's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Suere's effigy. It was carried by an insane person for ten years.,,,,,,,
,Your Size is considered 2 points higher to consider the effects of poisons and drugs (including alcohol).,,,,,,,
,,,,,,,,
Common,Athalea's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Athelea's effigy. It was put at the top of a fortified door that survived a real attack that included an assault on that door.,,,,,,,
,"Whenever a conscious living creature moves toward you when they are 6 meters away or less, you automatically feel their direction. This wakes you up when you sleep.",,,,,,,
,,,,,,,,
Common,Dyrephon's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Dyrephon's effigy. It was carried by a performer who won an annual or rarer city-wide contest.,,,,,,,
,"When you are below two thirds of your Health, you regain an extra 1 Health per day.",,,,,,,
,,,,,,,,
Common,Toracles' Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Toracles' effigy. It was placed under the pillow of a man when he died peacefully surrounded by his loving family.,,,,,,,
,You gain +2 to all social interaction rolls with children under thirteen. This includes first impression Charisma rolls and Influence rolls made to calm down babies.,,,,,,,
,,,,,,,,
Common,Zeklan's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Zeklan's effigy. It was carried by the general of an army that defeated a larger army in battle.,,,,,,,
,Reduce all fire and heat based damage you receive by 3.,,,,,,,
,,,,,,,,
Common,Kopaikon's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Kopaikon's effigy. It was present at the wedding of a couple who had no ongoing lies to each other.,,,,,,,
,You gain +3 to all defenses against mind-altering magic (arcane or divine).,,,,,,,
,,,,,,,,
Common,Cicean's Talisman,,,,,,,
,A 5 cm x 5 cm x 1 cm silver medallion carved with Cicean's effigy. It was placed at the bow of a ship that traversed the longest trade rout known to man back and forth without an incident.,,,,,,,
,You can hold your breath for an extra 10 minutes before spending your actual air reserves.,,,,,,,